run_id,condition_id,condition_name,model,model_label,hhi,sector_hhi,portfolio_beta,portfolio_vol,return_12m,breadth,sector_Consumer Goods,sector_Energy,sector_Financials,sector_Healthcare,sector_Industrials,sector_Technology
claude_control_009_20260427T230440602186,0,control,claude-sonnet-4-6,claude,0.05744804520592932,0.19956566975278411,0.9130150812,30.9679397426,11.283517250800001,20,15.075377000000001,7.537689,15.57789,19.095477,11.557789,31.155779
claude_technical_024_20260427T230445388090,2,technical,claude-sonnet-4-6,claude,0.061588088977029005,0.18033252424863822,0.7855008665999998,28.550027384000003,13.788319116300002,20,18.2831,6.445837999999999,21.515965000000005,18.820252,17.736,17.198847
claude_combined_005_20260427T230502561065,3,combined,claude-sonnet-4-6,claude,0.060580298455734094,0.19895845307046472,0.9198453875,30.688093719599998,13.882938244300002,20,17.010309,5.670103999999999,20.103093,16.494846,11.340207,29.381444000000002
claude_combined_024_20260427T230507575570,3,combined,claude-sonnet-4-6,claude,0.0592499129501465,0.1976697385111011,0.9209326521,30.869067608499993,13.334248603099999,20,16.062177,6.217617,19.170984,17.61658,11.398964,29.533679000000003
claude_combined_002_20260427T230512824791,3,combined,claude-sonnet-4-6,claude,0.07282811343813551,0.2220797992983539,0.9710710974,31.231772865,14.5302538801,20,17.241724,4.430443,21.672167,16.251625,6.90069,33.50335
claude_fundamental_000_20260427T230531126816,1,fundamental,claude-sonnet-4-6,claude,0.08708359286768841,0.2799729699039636,1.1447314145,34.8398386055,15.228988631400002,20,13.364009,5.0615179999999995,14.754425000000001,14.744423000000001,5.981793999999999,46.093829
claude_combined_003_20260427T230544235405,3,combined,claude-sonnet-4-6,claude,0.07055,0.22134999999999996,0.9788,31.47885,14.302299999999997,20,16.5,4.0,21.0,16.0,8.5,34.0
claude_technical_027_20260427T230600410714,2,technical,claude-sonnet-4-6,claude,0.06037894872906601,0.1778287160675734,0.8032690156999998,28.888228786900005,13.751401421199999,20,17.888592,7.371129,21.044821,17.898486,17.898486,17.898486
claude_combined_006_20260427T230617312142,3,combined,claude-sonnet-4-6,claude,0.0607096367708335,0.1992730092361113,0.921927096,30.747396132800006,13.756874804499997,20,16.666667,5.729167,19.791667,16.666666,11.458333000000001,29.687501
claude_combined_019_20260427T230622433741,3,combined,claude-sonnet-4-6,claude,0.05978982142230409,0.1998265639108259,0.9289394328,30.995556950399997,13.6028288249,20,15.656566,6.060607,19.19192,17.171718,11.616162999999998,30.303031000000004
claude_fundamental_017_20260427T230627756552,1,fundamental,claude-sonnet-4-6,claude,0.10151228596975441,0.34245746229867685,1.1475217428,34.2786957345,13.3307825385,20,14.347826,3.4782610000000007,10.869565,12.608696,4.782609,53.913043
claude_technical_019_20260427T230641883869,2,technical,claude-sonnet-4-6,claude,0.0726085,0.18370213999999996,0.7606930000000001,28.216753999999998,14.467363,20,20.479999999999997,5.72,21.9,19.52,16.19,16.189999999999998
claude_technical_028_20260427T230658061554,2,technical,claude-sonnet-4-6,claude,0.08975965693971973,0.1947029629220233,0.7227235166,27.6157262049,15.9966358907,20,25.485097,3.8407679999999997,22.124423999999998,18.273654,15.863172,14.412882
claude_fundamental_002_20260427T230713813617,1,fundamental,claude-sonnet-4-6,claude,0.08392386,0.26826871999999996,1.10684,34.138368,14.468486,20,13.670000000000002,5.13,14.529999999999998,15.380000000000003,6.8500000000000005,44.44
claude_control_016_20260427T230729502115,0,control,claude-sonnet-4-6,claude,0.05639999999999999,0.19785000000000003,0.9168000000000002,31.0682,11.573,20,15.000000000000002,7.500000000000001,15.0,18.5,13.0,31.0
claude_technical_002_20260427T230734212121,2,technical,claude-sonnet-4-6,claude,0.05840956907811408,0.1787716227877407,0.7978817682,29.10044301330001,13.506305005700002,20,17.241379000000002,6.896552,19.704432999999998,19.704432999999998,19.211822,17.24138
claude_technical_022_20260427T230749166988,2,technical,claude-sonnet-4-6,claude,0.0832938750987764,0.190203939967953,0.7565896203,28.0883618357,15.0708458663,20,20.62749,4.043824,23.256972,20.219123,14.661354000000001,17.191235
