condition,outcome,n,mean,median,std,min,max
control,hhi,30,0.057170719052996886,0.0570440159096994,0.0007204158023463255,0.0564,0.0588177675306344
control,sector_hhi,30,0.19996294878821175,0.198858620092422,0.0024887245753144618,0.19785,0.2053167024058811
control,portfolio_beta,30,0.92021696192,0.9165326797,0.007213441133802516,0.9130150812,0.93765
control,portfolio_vol,30,31.096559227040004,31.052060778,0.1102316863116585,30.959698888599995,31.31925
control,breadth,30,20.0,20.0,0.0,20.0,20.0
fundamental,hhi,30,0.09361346998578922,0.0937131211467593,0.005486643309827746,0.0832929636378318,0.1028274924140693
fundamental,sector_hhi,30,0.29583055499494276,0.29132035553211955,0.02160555951724861,0.2614725079369475,0.3424574622986768
fundamental,portfolio_beta,30,1.1512650660266666,1.1538826457500004,0.018662237729926503,1.1019019662000002,1.1781127995
fundamental,portfolio_vol,30,34.94828958683667,34.9910417582,0.38406426637050406,34.138368,35.50211424199999
fundamental,breadth,30,20.0,20.0,0.0,20.0,20.0
technical,hhi,30,0.0690645742073566,0.06643230321416185,0.010708318623275549,0.0559449120911388,0.102686010012744
technical,sector_hhi,30,0.1836924574213213,0.18230565264256005,0.005700100162870406,0.1778287160675734,0.2020880336721892
technical,portfolio_beta,30,0.77914782283,0.7853120129,0.024893275198789196,0.7135643823,0.8205277799999999
technical,portfolio_vol,30,28.620695729666668,28.691927246400002,0.4476493986830137,27.6157262049,29.511666131
technical,breadth,30,20.0,20.0,0.0,20.0,20.0
combined,hhi,30,0.06523977283752981,0.061520551385194494,0.0070452050274027855,0.0581007878720706,0.08651202
combined,sector_hhi,30,0.2101256125431684,0.20139553068699412,0.01593089504521995,0.1907977683633114,0.2497674999999999
combined,portfolio_beta,30,0.94930521079,0.9376159748999999,0.040151371971292385,0.89685,1.0789609999999998
combined,portfolio_vol,30,31.211124111406665,30.97844919035,0.7627900400183776,30.32525,34.08411999999999
combined,breadth,30,20.0,20.0,0.0,20.0,20.0
