run_id,condition_id,condition_name,hhi,sector_hhi,portfolio_beta,portfolio_vol,breadth
control_009_20260416T004818084638,0,control,0.06138733687432149,0.2145652834054697,0.9281406884000001,29.986984726,20
technical_024_20260416T004823064195,2,technical,0.06592064389333831,0.16997788932211888,0.7742235699000001,27.9179529255,20
combined_005_20260416T004839071067,3,combined,0.059311655127803606,0.19553426250760142,0.8913251251000002,28.9329358786,20
combined_024_20260416T004854786398,3,combined,0.0588017744674558,0.18472632998520716,0.8637980811,28.6203847637,20
combined_002_20260416T004900115971,3,combined,0.059063820647827905,0.1814206052864285,0.841715677,28.357058755,20
fundamental_000_20260416T004905238104,1,fundamental,0.1158163104312758,0.427635611166899,1.0816464940999997,30.420723361299995,20
combined_003_20260416T004919675692,3,combined,0.0582008136020712,0.17843934829142022,0.8372115409000002,28.389904116300002,20
technical_027_20260416T004924482027,2,technical,0.06657088531190831,0.16964279397500068,0.7788219085000001,27.804867139600002,20
combined_006_20260416T004941488806,3,combined,0.057613261685946104,0.18119539351586908,0.8518483404999999,28.5047396937,20
combined_019_20260416T004946608578,3,combined,0.0576223074595364,0.1803301209793734,0.8482775330000002,28.388325493700002,20
fundamental_017_20260416T004951526691,1,fundamental,0.079455779687075,0.2861224368299322,1.0001428391999998,29.662904156299998,20
technical_019_20260416T005003810608,2,technical,0.06311721999999999,0.16958637999999998,0.7726789999999999,27.778865000000003,20
technical_028_20260416T005020203390,2,technical,0.0666981555809745,0.17164281259869651,0.7417749524,27.399089788099996,20
fundamental_002_20260416T005037322001,1,fundamental,0.09146157044713642,0.31207139515559673,1.0348572008000003,30.104421136600003,20
control_016_20260416T005051873856,0,control,0.0593079148524657,0.20654839199392272,0.9116832074000001,29.8004962906,20
technical_002_20260416T005057179083,2,technical,0.06639898692122242,0.1707506842955396,0.7622653119000001,27.5560989176,20
technical_022_20260416T005114264675,2,technical,0.09683793950657309,0.17585195433287132,0.7902379683,27.2494387836,20
combined_007_20260416T005131624660,3,combined,0.057613261685946104,0.18119539351586908,0.8518483404999999,28.5047396937,20
fundamental_021_20260416T005137082272,1,fundamental,0.11390000000000002,0.4016500000000001,1.0846500000000001,30.47805,20
technical_008_20260416T005150510621,2,technical,0.09969442536876821,0.1757340718384002,0.7998328503,27.423335860899996,20
control_008_20260416T005207814940,0,control,0.059448290684352395,0.2068915834659748,0.920294126,29.887206347099998,20
technical_001_20260416T005212641851,2,technical,0.06302021286563629,0.17003566887039248,0.7701477754000001,27.853349657599995,20
combined_008_20260416T005229423420,3,combined,0.05912536835059189,0.18412536508136107,0.8676442279,28.6541825636,20
combined_018_20260416T005234235663,3,combined,0.0587493024907182,0.17750976690334658,0.8345812796000001,28.266748857899994,20
control_007_20260416T005239360015,0,control,0.05901382634055511,0.2058621854661313,0.9126238005,29.710595392200002,20
control_001_20260416T005244235819,0,control,0.060484270088226905,0.21184199055484812,0.9265346917,29.951486391400003,20
technical_018_20260416T005248895001,2,technical,0.08138846259093718,0.17166270770225242,0.7858612549,27.7363042815,20
technical_010_20260416T005305147872,2,technical,0.06512942041421921,0.170174809649716,0.7773435002000001,27.9768125182,20
control_026_20260416T005322464660,0,control,0.0590890355092336,0.20595016101773903,0.9138916396,29.799754136399997,20
technical_020_20260416T005327140249,2,technical,0.06161849559899239,0.1696262189743682,0.7900039878,28.059463862800005,20
control_021_20260416T005402145225,0,control,0.060141165388687606,0.20963632003235022,0.9251485434,29.920842556800004,20
